time,smoothing_multiplier_left,smoothing_multiplier_right,tracking_error_x
0.8456122875213623,[1. 0. 0.],[0.9256799  0.07432005 0.        ],0.06465244
0.9474074840545654,[1. 0. 0.],[9.9999988e-01 1.4901161e-07 0.0000000e+00],0.21596646
0.9929115772247314,[1. 0. 0.],[1. 0. 0.],-0.21104717
1.0351405143737793,[1. 0. 0.],[1. 0. 0.],-0.12236071
1.0785045623779297,[1. 0. 0.],[9.9999994e-01 5.9604645e-08 0.0000000e+00],-0.2340138
1.1261615753173828,[1. 0. 0.],[9.9999821e-01 1.8179417e-06 0.0000000e+00],-0.28279614
1.1723849773406982,[1. 0. 0.],[9.9995446e-01 4.5508146e-05 0.0000000e+00],-0.42559028
1.213822603225708,[1. 0. 0.],[9.9925458e-01 7.4541545e-04 2.9802322e-07],-0.50187445
1.2573931217193604,[1. 0. 0.],[9.9250728e-01 7.4926363e-03 1.1295080e-05],-0.31400466
1.298274278640747,[1. 0. 0.],[9.5414525e-01 4.5843754e-02 2.4101137e-04],-0.31162643
1.3407237529754639,[1. 0. 0.],[0.1021204  0.8510991  0.05210416],-0.12901473
1.3884317874908447,[1. 0. 0.],[1.9848347e-04 5.0059205e-01 4.9930874e-01],0.06736612
1.435230016708374,[1. 0. 0.],[0.00180519 0.07685685 0.9214767 ],0.4669094
1.483405590057373,[1. 0. 0.],[0.01831901 0.0050227  0.9767503 ],0.6440189
1.5354149341583252,[1. 0. 0.],[1.0478544e-01 3.4809113e-05 8.9518338e-01],0.5008507
1.5839486122131348,[1. 0. 0.],[0.34817606 0.         0.65182394],0.35143113
1.6299209594726562,[1. 0. 0.],[0.7019084 0.        0.       ],0.64528275
1.6750481128692627,[1. 0. 0.],[0.92987406 0.         0.        ],0.69500256
1.720076322555542,[1. 0. 0.],[0.9925816 0.        0.       ],0.3587799
1.75899076461792,[1. 0. 0.],[0.9996844 0.        0.       ],0.39981318
1.809140920639038,[9.9999994e-01 5.9604645e-08 0.0000000e+00],[0.99999475 0.         0.        ],0.42720532
1.858687162399292,[0.9986643  0.00133568 0.        ],[1. 0. 0.],0.37891746
1.901092529296875,[0.5869127 0.4130873 0.       ],[1. 0. 0.],0.41957855
1.9466149806976318,[0.00899386 0.99100614 0.        ],[1. 0. 0.],0.45903993
1.9857115745544434,[1.8954277e-05 9.9998105e-01 0.0000000e+00],[1. 0. 0.],0.51991963
2.0335171222686768,[0.000000e+00 9.999981e-01 1.937151e-06],[1. 0. 0.],0.6236775
2.0862958431243896,[0.000000e+00 9.994674e-01 5.326569e-04],[1. 0. 0.],0.8368354
2.1320419311523438,[0.         0.9742141  0.02578592],[1. 0. 0.],1.1569505
2.174814224243164,[0.         0.81722814 0.18277186],[1. 0. 0.],1.5201285
2.2215354442596436,[0.         0.66941226 0.33058774],[1. 0. 0.],1.808986
2.265702724456787,[0.        0.7377825 0.2622175],[1. 0. 0.],2.0868552
2.3073766231536865,[6.5565109e-07 9.8361236e-01 1.6386956e-02],[1. 0. 0.],2.3538182
2.349337577819824,[6.2799454e-04 9.9262041e-01 6.7558289e-03],[1. 0. 0.],2.2335336
2.3947813510894775,[2.1457672e-06 9.0567607e-01 9.4321966e-02],[1. 0. 0.],2.3138387
